claim_id,taxpayer_id,net_refund_amount,is_fraud,refund_to_output_ratio,input_output_vat_ratio,processing_days_zscore,total_claims_filed,is_first_time_claimant,is_high_value_claim,submitted_by_agent,has_few_documents,business_age_years,is_young_business,address_not_verified,bank_not_verified,is_small_business,claim_to_turnover_ratio,claim_exceeds_business_size,single_director,no_tax_agent,is_sole_proprietor,low_supplier_diversity,has_unverified_suppliers,unverified_supplier_ratio,has_unverified_payments,has_few_purchases,suspicious_purchase_pattern,has_export_sales,is_export_heavy,has_missing_export_docs,has_unpaid_sales,has_few_sales,single_export_destination,export_without_customs,large_export_customs_mismatch,has_unverified_customs,has_audit_issues,has_penalties,low_compliance_rating,never_audited,not_registered_pacra,directors_mismatch,address_mismatch_pacra,is_dormant_company,claim_exceeds_share_capital,supplier_risk_score,export_risk_score,legitimacy_risk_score,historical_risk_score
CLM00010000,TPIN1000000000,7801,1,0.48444389244240205,1.4843817922126312,-1.6372756820837517,1,0,0,1,1,6.0889801505817935,0,1,0,1,0.015374245920927381,0,1,0,0,1,1,0.25,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,10,0,2,5
CLM00010001,TPIN1000000001,6683,1,0.5005992509363296,1.5005243445692884,0.2900869757103426,1,0,0,1,1,3.805612594113621,0,0,0,1,0.018126781689319492,0,1,0,0,1,0,0.0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,7,0,4,0
CLM00010002,TPIN1000000002,12844,1,0.7609906387012679,1.7608721412489632,0.36566982503560114,1,0,1,1,0,2.1190965092402463,0,1,0,1,0.03460763286377892,0,1,0,1,1,1,0.25,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,8,0,6,8
CLM00010003,TPIN1000000003,21602,1,0.9000833333333333,1.9000416666666666,0.8191669209871527,1,0,1,1,0,4.813141683778234,0,1,0,1,0.0412725282241655,0,1,0,0,1,0,0.0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,5,7,4,0
CLM00010004,TPIN1000000004,822,1,0.3496384517226712,1.3492131008081667,-1.3727357094453465,1,0,0,1,1,4.101300479123887,0,0,1,1,0.012086280160562263,0,1,0,0,1,1,0.25,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,10,5,4,0
CLM00010005,TPIN1000000005,10262,1,0.6566839444551097,1.6566199526460612,1.49941256491448,1,0,0,0,1,4.837782340862423,0,0,0,1,0.029306937479294942,0,1,0,1,1,1,0.25,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,10,2,0,5
CLM00010006,TPIN1000000006,4778,1,0.5661808271122171,1.5660623296599123,0.856958345649782,1,0,0,1,1,2.3682409308692676,0,0,0,1,0.011472973200114298,0,1,0,1,1,1,0.3333333333333333,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,10,0,2,2
CLM00010007,TPIN1000000007,6616,1,0.7174926797527383,1.7173842316451577,-1.297152860120088,1,1,0,0,1,8.930869267624914,0,1,0,1,0.012208984749841298,0,1,0,1,1,1,0.3333333333333333,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,8,0,6,4
CLM00010008,TPIN1000000008,2536,1,0.37907324364723466,1.3789237668161436,-1.410527134107976,1,0,0,1,1,2.5270362765229293,0,1,1,1,0.013172588964320775,0,1,0,0,1,1,0.5,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,6,0,2,8
CLM00010009,TPIN1000000009,866,1,0.5947802197802198,1.5940934065934067,-0.8436557641685364,1,1,0,1,1,8.58590006844627,0,0,1,0,0.004627947243539043,0,1,0,0,1,0,0.0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,5,0,2,2
