transaction_id,claim_id,taxpayer_id,customer_name,customer_country,invoice_number,invoice_date,is_export,gross_amount,vat_amount,net_amount,export_doc_reference,payment_received
SAL00010000-0001,CLM00010000,TPIN1000000000,Local Customer 0,Zambia,SINV-791396,2024-01-31,No,249530,39925,209606,N/A,Yes
SAL00010000-0002,CLM00010000,TPIN1000000000,Local Customer 1,Zambia,SINV-66311,2023-12-28,No,103092,16495,86598,N/A,Yes
SAL00010000-0003,CLM00010000,TPIN1000000000,Tanzania Buyer 2,China,SINV-179566,2024-01-19,Yes,37200,0,37200,EXP-616298,Yes
SAL00010001-0001,CLM00010001,TPIN1000000001,Local Customer 0,Zambia,SINV-190751,2024-09-10,No,185859,29737,156122,N/A,Yes
SAL00010002-0001,CLM00010002,TPIN1000000002,Local Customer 0,Zambia,SINV-647753,2024-04-30,No,198885,31822,167064,N/A,Yes
SAL00010002-0002,CLM00010002,TPIN1000000002,Local Customer 1,Zambia,SINV-34931,2024-05-23,No,141738,22678,119060,N/A,Yes
SAL00010002-0003,CLM00010002,TPIN1000000002,Local Customer 2,Zambia,SINV-264316,2024-05-23,No,273575,43772,229803,N/A,Yes
SAL00010003-0001,CLM00010003,TPIN1000000003,Local Customer 0,Zambia,SINV-361947,2023-11-27,No,298318,47731,250587,N/A,Yes
SAL00010003-0002,CLM00010003,TPIN1000000003,UK Buyer 1,Tanzania,SINV-685263,2023-11-14,Yes,220452,0,220452,EXP-88030,No
SAL00010003-0003,CLM00010003,TPIN1000000003,China Buyer 2,DRC,SINV-733421,2023-11-11,Yes,285667,0,285667,EXP-651211,Yes
SAL00010004-0001,CLM00010004,TPIN1000000004,Local Customer 0,Zambia,SINV-130729,2023-12-28,No,46441,7431,39011,N/A,Yes
SAL00010004-0002,CLM00010004,TPIN1000000004,UK Buyer 1,South Africa,SINV-26226,2023-12-09,Yes,139430,0,139430,EXP-149484,Yes
SAL00010005-0001,CLM00010005,TPIN1000000005,Local Customer 0,Zambia,SINV-490549,2024-07-02,No,136582,21853,114728,N/A,Yes
SAL00010005-0002,CLM00010005,TPIN1000000005,Local Customer 1,Zambia,SINV-381323,2024-05-17,No,67705,10833,56872,N/A,Yes
SAL00010005-0003,CLM00010005,TPIN1000000005,UK Buyer 2,Tanzania,SINV-321245,2024-04-30,Yes,288001,0,288001,EXP-3509,No
SAL00010006-0001,CLM00010006,TPIN1000000006,Local Customer 0,Zambia,SINV-977835,2024-11-04,No,248742,39799,208943,N/A,Yes
SAL00010007-0001,CLM00010007,TPIN1000000007,Local Customer 0,Zambia,SINV-90964,2023-11-18,No,162662,26026,136636,N/A,Yes
SAL00010007-0002,CLM00010007,TPIN1000000007,Local Customer 1,Zambia,SINV-135539,2024-01-04,No,32601,5216,27385,N/A,Yes
SAL00010008-0001,CLM00010008,TPIN1000000008,Local Customer 0,Zambia,SINV-790092,2024-09-27,No,44966,7195,37771,N/A,Yes
SAL00010008-0002,CLM00010008,TPIN1000000008,Local Customer 1,Zambia,SINV-3283,2024-08-29,No,235557,37689,197868,N/A,Yes
SAL00010008-0003,CLM00010008,TPIN1000000008,Local Customer 2,Zambia,SINV-98219,2024-08-14,No,10313,1650,8663,N/A,Yes
SAL00010009-0001,CLM00010009,TPIN1000000009,Local Customer 0,Zambia,SINV-769925,2023-12-22,No,258065,41290,216775,N/A,Yes
SAL00010010-0001,CLM00010010,TPIN1000000010,UK Buyer 0,Tanzania,SINV-943821,2024-09-06,Yes,18881,0,18881,EXP-646527,No
SAL00010010-0002,CLM00010010,TPIN1000000010,Local Customer 1,Zambia,SINV-938110,2024-11-01,No,155069,24811,130258,N/A,Yes
SAL00010011-0001,CLM00010011,TPIN1000000011,Local Customer 0,Zambia,SINV-488251,2024-04-17,No,248560,39770,208790,N/A,Yes
SAL00010012-0001,CLM00010012,TPIN1000000012,Local Customer 0,Zambia,SINV-655873,2024-09-24,No,182310,29170,153140,N/A,Yes
SAL00010012-0002,CLM00010012,TPIN1000000012,DRC Buyer 1,Malawi,SINV-302661,2024-09-22,Yes,44249,0,44249,EXP-20752,Yes
SAL00010012-0003,CLM00010012,TPIN1000000012,Local Customer 2,Zambia,SINV-428570,2024-09-07,No,272870,43659,229211,N/A,Yes
SAL00010013-0001,CLM00010013,TPIN1000000013,Local Customer 0,Zambia,SINV-570712,2024-02-20,No,295450,47272,248178,N/A,Yes
SAL00010013-0002,CLM00010013,TPIN1000000013,China Buyer 1,Tanzania,SINV-718107,2024-03-14,Yes,19486,0,19486,EXP-247293,No
SAL00010013-0003,CLM00010013,TPIN1000000013,Local Customer 2,Zambia,SINV-822634,2024-02-26,No,211370,33819,177551,N/A,Yes
SAL00010014-0001,CLM00010014,TPIN1000000014,DRC Buyer 0,Botswana,SINV-531946,2024-08-01,Yes,114184,0,114184,EXP-693418,Yes
SAL00010014-0002,CLM00010014,TPIN1000000014,Zimbabwe Buyer 1,UK,SINV-738721,2024-09-01,Yes,306603,0,306603,EXP-215669,No
SAL00010014-0003,CLM00010014,TPIN1000000014,Local Customer 2,Zambia,SINV-11891,2024-07-01,No,290403,46465,243939,N/A,Yes
SAL00010015-0001,CLM00010015,TPIN1000000015,Local Customer 0,Zambia,SINV-780463,2024-10-08,No,248554,39769,208785,N/A,Yes
SAL00010016-0001,CLM00010016,TPIN1000000016,Local Customer 0,Zambia,SINV-538851,2024-05-20,No,168877,27020,141856,N/A,Yes
SAL00010016-0002,CLM00010016,TPIN1000000016,Local Customer 1,Zambia,SINV-497061,2024-07-13,No,269781,43165,226616,N/A,Yes
SAL00010017-0001,CLM00010017,TPIN1000000017,Local Customer 0,Zambia,SINV-341939,2024-07-11,No,27729,4437,23293,N/A,Yes
SAL00010017-0002,CLM00010017,TPIN1000000017,Local Customer 1,Zambia,SINV-908526,2024-10-05,No,126903,20304,106598,N/A,Yes
SAL00010017-0003,CLM00010017,TPIN1000000017,DRC Buyer 2,Zimbabwe,SINV-821524,2024-09-18,Yes,273999,0,273999,EXP-394662,No
SAL00010018-0001,CLM00010018,TPIN1000000018,Tanzania Buyer 0,Zimbabwe,SINV-90173,2024-05-20,Yes,12282,0,12282,EXP-393935,No
SAL00010019-0001,CLM00010019,TPIN1000000019,China Buyer 0,South Africa,SINV-502761,2024-04-17,Yes,138912,0,138912,EXP-265173,Yes
SAL00010019-0002,CLM00010019,TPIN1000000019,South Africa Buyer 1,UK,SINV-799247,2024-06-13,Yes,46575,0,46575,EXP-574461,No
