claim_id,taxpayer_id,claim_date,refund_period_start,refund_period_end,input_vat_claimed,output_vat_paid,net_refund_amount,claim_status,processing_days,submitted_by,supporting_docs_count,previous_refunds_count,sector
CLM00010000,TPIN1000000000,2024-02-04,2023-10-31,2024-01-30,23903,16102,7801,Approved,1,Tax Agent,1,1,Import/Export
CLM00010001,TPIN1000000001,2024-11-14,2024-07-31,2024-10-30,20032,13349,6683,Under Review,52,Tax Agent,3,7,Manufacturing
CLM00010002,TPIN1000000002,2024-07-05,2024-03-31,2024-06-29,29720,16877,12844,Pending,54,Tax Agent,5,3,Mining
CLM00010003,TPIN1000000003,2024-01-15,2023-09-30,2023-12-30,45601,23999,21602,Pending,66,Tax Agent,5,7,Transport
CLM00010004,TPIN1000000004,2024-02-19,2023-10-31,2024-01-30,3172,2350,822,Under Review,8,Tax Agent,1,3,Construction
CLM00010005,TPIN1000000005,2024-07-11,2024-03-31,2024-06-29,25888,15626,10262,Under Review,84,Taxpayer,2,1,Agriculture
CLM00010006,TPIN1000000006,2024-11-21,2024-07-31,2024-10-30,13216,8438,4778,Under Review,67,Tax Agent,3,4,Real Estate
CLM00010007,TPIN1000000007,2024-02-07,2023-10-31,2024-01-30,15836,9220,6616,Pending,10,Taxpayer,2,0,Wholesale
CLM00010008,TPIN1000000008,2024-10-19,2024-06-30,2024-09-29,9225,6689,2536,Pending,7,Tax Agent,4,9,Hospitality
CLM00010009,TPIN1000000009,2024-03-01,2023-11-30,2024-02-28,2321,1455,866,Approved,22,Tax Agent,4,0,Agriculture
CLM00010010,TPIN1000000010,2024-11-10,2024-07-31,2024-10-30,17551,13425,4125,Pending,24,Taxpayer,5,3,Wholesale
CLM00010011,TPIN1000000011,2024-05-25,2024-01-31,2024-04-29,18608,9515,9093,Query Raised,15,Tax Agent,2,1,ICT
CLM00010012,TPIN1000000012,2024-09-30,2024-06-30,2024-09-29,21028,11221,9807,Approved,61,Tax Agent,5,5,Transport
CLM00010013,TPIN1000000013,2024-04-06,2023-12-31,2024-03-30,12648,6583,6066,Pending,53,Taxpayer,3,6,Mining
CLM00010014,TPIN1000000014,2024-09-17,2024-05-31,2024-08-30,5137,3320,1817,Pending,54,Tax Agent,3,6,Wholesale
CLM00010015,TPIN1000000015,2024-10-14,2024-06-30,2024-09-29,1091,780,311,Under Review,66,Taxpayer,1,3,Construction
CLM00010016,TPIN1000000016,2024-08-01,2024-04-30,2024-07-30,18141,9779,8362,Approved,85,Tax Agent,4,7,Retail
CLM00010017,TPIN1000000017,2024-10-08,2024-06-30,2024-09-29,14211,9376,4835,Query Raised,41,Taxpayer,3,9,Wholesale
CLM00010018,TPIN1000000018,2024-07-09,2024-03-31,2024-06-29,7187,3591,3596,Under Review,20,Tax Agent,1,6,Construction
CLM00010019,TPIN1000000019,2024-07-01,2024-03-31,2024-06-29,1326,836,490,Pending,54,Tax Agent,5,5,Healthcare
CLM00010020,TPIN1000000020,2024-01-15,2023-09-30,2023-12-30,32147,15946,16201,Pending,68,Taxpayer,5,9,Import/Export
CLM00010021,TPIN1000000021,2024-11-20,2024-07-31,2024-10-30,16359,9273,7086,Under Review,89,Taxpayer,4,9,Healthcare
CLM00010022,TPIN1000000022,2024-09-11,2024-05-31,2024-08-30,1423,933,491,Pending,21,Tax Agent,4,1,Professional Services
CLM00010023,TPIN1000000023,2024-08-03,2024-04-30,2024-07-30,30598,18977,11621,Pending,19,Tax Agent,1,1,Hospitality
CLM00010024,TPIN1000000024,2024-07-09,2024-03-31,2024-06-29,2469,1887,582,Approved,12,Tax Agent,1,2,Hospitality
CLM00010025,TPIN1000000025,2023-12-31,2023-09-30,2023-12-30,7083,3533,3550,Query Raised,68,Taxpayer,4,9,Real Estate
CLM00010026,TPIN1000000026,2024-03-04,2023-11-30,2024-02-28,34618,21119,13499,Pending,55,Tax Agent,1,7,Construction
CLM00010027,TPIN1000000027,2024-06-13,2024-02-29,2024-05-30,2643,1600,1043,Query Raised,16,Tax Agent,4,7,Transport
CLM00010028,TPIN1000000028,2024-02-02,2023-10-31,2024-01-30,5699,3208,2492,Pending,76,Tax Agent,2,1,Transport
CLM00010029,TPIN1000000029,2024-03-24,2023-11-30,2024-02-28,2552,1664,888,Under Review,90,Tax Agent,3,2,Retail
CLM00010030,TPIN1000000030,2024-07-21,2024-03-31,2024-06-29,14595,6964,7631,Approved,77,Tax Agent,3,7,Wholesale
CLM00010031,TPIN1000000031,2024-09-25,2024-05-31,2024-08-30,3015,2316,699,Pending,4,Tax Agent,1,9,Mining
CLM00010032,TPIN1000000032,2024-06-21,2024-02-29,2024-05-30,4984,3467,1517,Under Review,74,Tax Agent,3,4,Professional Services
CLM00010033,TPIN1000000033,2024-04-08,2023-12-31,2024-03-30,2871,1551,1320,Pending,8,Tax Agent,1,1,Import/Export
CLM00010034,TPIN1000000034,2024-06-30,2024-03-31,2024-06-29,7656,3751,3905,Approved,8,Tax Agent,2,2,Healthcare
CLM00010035,TPIN1000000035,2024-05-18,2024-01-31,2024-04-29,7825,4892,2933,Query Raised,22,Tax Agent,5,8,Mining
CLM00010036,TPIN1000000036,2024-11-23,2024-07-31,2024-10-30,24687,11894,12793,Under Review,42,Tax Agent,4,7,Real Estate
CLM00010037,TPIN1000000037,2024-07-24,2024-03-31,2024-06-29,25575,15163,10412,Pending,28,Taxpayer,1,3,Healthcare
CLM00010038,TPIN1000000038,2024-06-26,2024-02-29,2024-05-30,23403,12769,10634,Under Review,36,Tax Agent,3,4,Real Estate
CLM00010039,TPIN1000000039,2024-02-19,2023-10-31,2024-01-30,3258,2014,1244,Query Raised,1,Tax Agent,2,3,ICT
CLM00010040,TPIN1000000040,2024-01-21,2023-09-30,2023-12-30,11433,7952,3481,Pending,66,Taxpayer,1,5,Manufacturing
CLM00010041,TPIN1000000041,2024-09-15,2024-05-31,2024-08-30,11139,6808,4331,Pending,9,Tax Agent,1,0,Retail
CLM00010042,TPIN1000000042,2024-11-20,2024-07-31,2024-10-30,22807,12766,10040,Approved,80,Taxpayer,3,8,Construction
