total_sales_amount,export_sales_value,output_vat,input_vat,net_refund_amount,sales_invoice_count,supporting_docs_count,submitted_by,zero_rated_sales,exempt_sales,business_age_years,is_fraud,claim_id,taxpayer_id,period_start,period_end,claim_date,fraud_type,processing_days
102610.1641715548,14761.064293024418,10639.44885593879,9915.645156208577,0.0,10,21,Tax Agent,13284.957863721977,9790.360438288284,3.3027750774942044,0,CLM_576186,TPIN_43322053,2024-04-13,2024-07-11,2024-07-19,,24
1487677.7519876382,379617.454386204,177289.64761622946,194427.235678645,17137.58806241554,40,18,Tax Agent,341655.7089475836,15744.702679055661,18.741626309175295,0,CLM_169274,TPIN_21667877,2024-08-24,2024-11-21,2024-11-26,,39
904157.7361221375,668615.0043064031,37686.8370905175,102854.58441588539,65167.74732536788,28,16,Self,601753.5038757628,41085.24930284105,17.055128131111925,0,CLM_678764,TPIN_93195927,2024-07-28,2024-10-25,2024-11-20,,40
1704555.7411512076,1135412.3775729858,91062.93817251548,182970.28674603772,91907.34857352223,95,17,Self,1021871.1398156873,60602.03568857789,13.9134856198701,0,CLM_188697,TPIN_42145513,2024-10-11,2025-01-08,2025-01-23,,53
1348620.959826719,1059855.4894772875,46202.47525590904,180051.9360804397,133849.46082453063,29,22,Tax Agent,953869.9405295588,40765.66939567741,4.368175519508383,0,CLM_381941,TPIN_32257499,2024-10-22,2025-01-19,2025-01-29,,36
404525.50981569797,335174.0032555599,11096.241049622093,49705.65312251179,38609.412072889696,14,25,Self,301656.6029300039,565.5586946505678,10.64956417685135,0,CLM_598338,TPIN_57601720,2024-11-29,2025-02-26,2025-03-06,,55
400104.3176349262,243984.6809333763,24979.14187224798,48407.24462022921,23428.102747981233,46,29,Tax Agent,219586.21284003867,27030.51850413815,9.995301323810597,0,CLM_550985,TPIN_20531792,2024-07-06,2024-10-03,2024-10-13,,22
296202.9656862734,272889.2399247606,3730.196121842051,33935.45833798901,30205.26221614696,12,7,Self,218311.3919398085,13651.146812697327,2.1930019154111715,1,CLM_933404,TPIN_41202033,2024-03-07,2024-06-04,2024-06-10,fake_exports,12
1500299.9541808385,1290185.658482889,33618.287311671935,161141.75875768877,127523.47144601683,32,13,Tax Agent,1161167.0926346001,121735.46391237831,19.41174510015064,0,CLM_549535,TPIN_26032031,2024-03-27,2024-06-24,2024-07-19,,35
120996.87358121196,81185.1659042148,6369.873228319546,16125.619832316677,9755.746603997131,10,25,Tax Agent,73066.64931379331,8428.001708074164,10.88431027884166,0,CLM_762582,TPIN_84456829,2024-07-10,2024-10-07,2024-11-03,,35
357942.1226788506,66187.4284517188,44705.76016143882,37707.33557631414,0.0,23,24,Tax Agent,59568.685606546926,8480.84259359437,19.594537009410267,0,CLM_579053,TPIN_86094603,2024-02-05,2024-05-04,2024-05-19,,33
328041.3166189211,63812.99997906287,51318.98554057023,40388.38178669301,0.0,21,29,Tax Agent,57431.699981156584,30418.143898388433,11.738545203130606,0,CLM_176970,TPIN_96047037,2024-11-06,2025-02-03,2025-03-02,,22
829466.814576864,531259.4164903377,47713.183693844214,80311.34809080626,32598.16439696205,16,20,Self,478133.47484130395,73757.35151920724,10.869480130328078,0,CLM_992987,TPIN_77985740,2024-04-15,2024-07-13,2024-07-31,,14
256877.07077714088,999.2128880374592,40940.45726225655,95975.64733748145,55035.190075224906,6,2,Self,799.3703104299674,12488.060977569854,2.3829336793740623,1,CLM_104200,TPIN_39407387,2024-02-21,2024-05-20,2024-05-26,inflated_inputs,10
1402885.1465226975,1202285.6398226386,32095.92107200943,159557.42352368226,127461.50245167283,43,26,Tax Agent,1082057.0758403747,89729.31414094844,16.19844075029647,0,CLM_773590,TPIN_63102022,2024-11-27,2025-02-24,2025-03-22,,20
104742.11728409756,57620.77111691728,7539.415386748845,11416.856827676562,3877.441440927717,10,21,Self,51858.69400522556,3545.316531534392,11.60697190433745,0,CLM_175675,TPIN_20409387,2024-03-02,2024-05-30,2024-06-26,,35
1583031.7150400435,1213533.24051281,59119.75592435736,160501.71413355743,101381.95820920006,67,27,Tax Agent,1092179.916461529,80137.97852694443,14.554302810081083,0,CLM_902874,TPIN_44732584,2024-07-21,2024-10-18,2024-10-25,,46
890424.7957475352,614598.7650380505,44132.164913517554,96144.96293957577,52012.79802605821,45,14,Tax Agent,553138.8885342454,39547.7010544302,11.672026847175399,0,CLM_798367,TPIN_89757246,2024-03-22,2024-06-19,2024-06-25,,40
1110020.276144988,790613.5796733419,51105.07143546335,129085.84547680398,77980.77404134063,30,24,Tax Agent,711552.2217060077,22645.372303564414,11.493938820040013,0,CLM_456477,TPIN_64217313,2024-03-10,2024-06-07,2024-06-16,,54
1711935.9921635285,1381713.549111703,52835.590888292085,172149.94740922973,119314.35652093764,50,15,Tax Agent,1243542.1942005327,78468.89379232006,13.635332754105601,0,CLM_713614,TPIN_17760004,2024-11-21,2025-02-18,2025-03-17,,41
475606.0723737667,51116.16098780855,67918.3858217533,136776.77508721396,68858.38926546066,19,3,Self,40892.92879024684,22871.693978505606,2.0627363964034657,1,CLM_997751,TPIN_74502797,2024-08-28,2024-11-25,2024-12-23,inflated_inputs,13
132880.63579277348,13089.71737679475,17799.436494911937,15012.199220765688,0.0,10,26,Self,11780.745639115275,15.46284557511444,7.417757166712103,0,CLM_554681,TPIN_91671002,2024-03-28,2024-06-25,2024-07-05,,13
3653145.4791336423,3103871.8486810443,87883.78087241568,355152.6381511119,267268.8572786962,401,20,Self,2793484.66381294,196204.39977064612,5.7695180747933765,0,CLM_781505,TPIN_39697894,2024-05-20,2024-08-17,2024-09-13,,36
418729.0301174936,46262.05980367862,59594.7152502104,223476.6308769739,163881.9156267635,14,4,Self,37009.6478429429,12831.91840388994,2.026605166579444,1,CLM_239559,TPIN_71784361,2024-03-30,2024-06-27,2024-07-15,inflated_inputs,18
678875.2515221998,590359.2851466108,14162.554620094244,67281.21931000856,53118.66468991431,14,27,Tax Agent,531323.3566319498,60061.75697155285,3.4045736717693957,0,CLM_626406,TPIN_43161879,2024-11-16,2025-02-13,2025-02-27,,39
131410.87437662913,22098.289927079197,15635.295726387209,14360.968754188696,0.0,10,8,Tax Agent,19888.460934371276,12856.260628457598,13.979169357629841,0,CLM_592646,TPIN_31584360,2024-03-11,2024-06-08,2024-06-26,,29
258498.93872656237,228907.80638050602,4734.581175369015,30388.93747932081,25654.356303951798,14,17,Tax Agent,206017.02574245541,935.9538668684146,9.249970418269996,0,CLM_597981,TPIN_67730160,2024-07-15,2024-10-12,2024-11-05,,41
436606.2896248493,220229.1808042353,34620.337411298235,47365.29055817544,12744.953146877204,78,24,Tax Agent,198206.2627238118,22197.32470859084,5.578913545156639,0,CLM_752632,TPIN_71047093,2024-05-30,2024-08-27,2024-09-16,,31
150910.90060649972,112313.64041041478,6175.561631373591,17929.806612889435,11754.244981515843,2,2,Self,89850.91232833183,3271.8998797808367,1.0139597575108026,1,CLM_313058,TPIN_97505874,2024-06-08,2024-09-05,2024-10-04,ghost_business,7
175318.81597675005,131703.55864767337,6978.441172652268,17387.17382698891,10408.732654336643,4,1,Self,105362.8469181387,6228.294290733127,0.7737517953202008,1,CLM_591510,TPIN_75637016,2024-11-01,2025-01-29,2025-02-20,ghost_business,10
1435085.5805405714,286607.5865642438,182195.16143674625,150037.63845449002,0.0,59,15,Self,257946.8279078194,140268.85833877558,11.184447796456622,0,CLM_895464,TPIN_67240646,2024-12-29,2025-03-28,2025-04-02,,15
511639.47250613675,353091.1953794077,25367.724340276643,53063.19191172699,27695.46757145035,15,20,Tax Agent,317782.07584146695,25980.24335586291,16.714968617462,0,CLM_985054,TPIN_94950447,2024-04-28,2024-07-26,2024-08-07,,57
1676280.7688481193,1349932.4986177133,52215.72323686496,209374.9593167857,157159.23607992075,118,13,Tax Agent,1214939.248755942,126549.17391557568,7.954273845697801,0,CLM_133593,TPIN_73874028,2024-12-07,2025-03-06,2025-03-29,,30
7928630.436342368,4966816.2670908915,473890.2670802362,1003237.8519204238,529347.5848401876,500,24,Tax Agent,4470134.640381803,585443.440655189,8.918102503253499,0,CLM_296000,TPIN_60854695,2024-01-10,2024-04-08,2024-04-30,,21
404389.4258126613,87464.01121292436,50708.066335957905,53445.42819820547,2737.3618622475624,62,9,Self,78717.61009163193,18455.746580030995,4.063486573941634,0,CLM_281808,TPIN_29957019,2024-07-26,2024-10-23,2024-11-12,,31
236426.5404201034,8048.445616859878,39910.21325314987,31441.832405055855,0.0,14,23,Self,7243.60105517389,12522.345387221752,11.993614608790322,0,CLM_757409,TPIN_42797855,2024-05-07,2024-08-04,2024-08-15,,19
5658121.292909829,4734768.122393595,147736.50728259742,587172.6764898606,439436.1692072632,240,10,Tax Agent,4261291.310154236,552148.9429537302,15.069644007007907,0,CLM_903451,TPIN_54910237,2024-09-20,2024-12-18,2025-01-12,,15
157261.04913961038,99349.44697706973,9265.856346006503,18739.156892208986,9473.300546202483,10,19,Self,89414.50227936276,14681.298855984567,15.205593174726198,0,CLM_473254,TPIN_34628164,2024-09-09,2024-12-07,2025-01-03,,35
1132035.63161841,970123.9886900099,25905.86286854403,114018.04959130335,88112.18672275932,30,17,Tax Agent,873111.589821009,99643.54504249133,8.95996202243607,0,CLM_379709,TPIN_86449809,2024-08-28,2024-11-25,2024-12-23,,55
76731.33825084694,12738.523934268129,10238.85029065261,23977.417327138875,13738.567036486265,8,2,Self,10190.819147414504,1850.1987368115288,2.0008867137727044,1,CLM_848664,TPIN_18509239,2024-05-02,2024-07-30,2024-08-09,inflated_inputs,24
1970810.4560470313,1746631.3365020356,35868.65912719932,201884.85755822243,166016.1984310231,149,22,Tax Agent,1571968.2028518321,81735.94162222234,17.23959315798821,0,CLM_185227,TPIN_48316584,2024-07-20,2024-10-17,2024-11-14,,16
1029877.1127530963,91618.56248552744,140875.04555363132,113274.25692714077,0.0,29,26,Tax Agent,82456.7062369747,68003.06585090312,3.7711216948411517,0,CLM_569511,TPIN_74623935,2024-05-31,2024-08-28,2024-09-18,,31
