transaction_id,claim_id,taxpayer_id,supplier_tpin,supplier_name,supplier_verified,invoice_number,invoice_date,gross_amount,vat_amount,net_amount,description,payment_method,payment_verified
PUR00010000-0001,CLM00010000,TPIN1000000000,TPIN1000000594,Supplier 0594,Yes,INV-839310,2024-01-17,43162,6906,36256,Goods for Resale,Cash,Yes
PUR00010000-0002,CLM00010000,TPIN1000000000,TPIN1000000644,Supplier 0644,No,INV-378033,2024-01-07,52830,8453,44378,Goods for Resale,Bank Transfer,No
PUR00010000-0003,CLM00010000,TPIN1000000000,TPIN1000000646,Supplier 0646,Yes,INV-176327,2023-12-25,53340,8534,44805,Raw Materials,Cash,Yes
PUR00010001-0001,CLM00010001,TPIN1000000001,TPIN1000000800,Supplier 0800,Yes,INV-189180,2024-09-13,18875,3020,15855,Raw Materials,Cash,No
PUR00010002-0001,CLM00010002,TPIN1000000002,TPIN1000000795,Supplier 0795,Yes,INV-34727,2024-05-27,20775,3324,17451,Services,Bank Transfer,Yes
PUR00010002-0002,CLM00010002,TPIN1000000002,TPIN1000000256,Supplier 0256,No,INV-87539,2024-05-16,59920,9587,50333,Raw Materials,Cash,No
PUR00010002-0003,CLM00010002,TPIN1000000002,TPIN1000000829,Supplier 0829,Yes,INV-385686,2024-04-09,16107,2577,13529,Raw Materials,Bank Transfer,Yes
PUR00010003-0001,CLM00010003,TPIN1000000003,TPIN1000000452,Supplier 0452,Yes,INV-672514,2023-11-23,36370,5819,30551,Equipment,Cash,Yes
PUR00010003-0002,CLM00010003,TPIN1000000003,TPIN1000000160,Supplier 0160,Yes,INV-263051,2023-12-06,56804,9089,47715,Goods for Resale,Cheque,Yes
PUR00010003-0003,CLM00010003,TPIN1000000003,TPIN1000000859,Supplier 0859,Yes,INV-54632,2024-01-08,31739,5078,26660,Services,Cheque,No
PUR00010004-0001,CLM00010004,TPIN1000000004,TPIN1000000944,Supplier 0944,Yes,INV-772599,2024-02-09,42069,6731,35338,Services,Cheque,No
PUR00010004-0002,CLM00010004,TPIN1000000004,TPIN1000000202,Supplier 0202,No,INV-969987,2023-12-06,46342,7415,38927,Equipment,Cash,No
PUR00010004-0003,CLM00010004,TPIN1000000004,TPIN1000000898,Supplier 0898,Yes,INV-822765,2024-01-19,47725,7636,40089,Raw Materials,Cash,Yes
PUR00010005-0001,CLM00010005,TPIN1000000005,TPIN1000000758,Supplier 0758,No,INV-177214,2024-06-10,34141,5463,28678,Raw Materials,Bank Transfer,No
PUR00010005-0002,CLM00010005,TPIN1000000005,TPIN1000000599,Supplier 0599,Yes,INV-996578,2024-06-13,51146,8183,42962,Raw Materials,Bank Transfer,No
PUR00010005-0003,CLM00010005,TPIN1000000005,TPIN1000000580,Supplier 0580,Yes,INV-115039,2024-06-22,36782,5885,30897,Raw Materials,Cheque,No
PUR00010006-0001,CLM00010006,TPIN1000000006,TPIN1000000184,Supplier 0184,Yes,INV-952393,2024-10-14,31636,5062,26574,Services,Cheque,No
PUR00010006-0002,CLM00010006,TPIN1000000006,TPIN1000000124,Supplier 0124,No,INV-714711,2024-10-19,47419,7587,39832,Equipment,Cheque,Yes
PUR00010007-0001,CLM00010007,TPIN1000000007,TPIN1000000817,Supplier 0817,Yes,INV-98142,2023-12-27,38862,6218,32644,Goods for Resale,Cash,Yes
PUR00010007-0002,CLM00010007,TPIN1000000007,TPIN1000000827,Supplier 0827,No,INV-292911,2023-12-24,27215,4354,22860,Raw Materials,Bank Transfer,Yes
PUR00010008-0001,CLM00010008,TPIN1000000008,TPIN1000000765,Supplier 0765,No,INV-411451,2024-08-27,20598,3296,17303,Raw Materials,Bank Transfer,Yes
PUR00010008-0002,CLM00010008,TPIN1000000008,TPIN1000000377,Supplier 0377,No,INV-747852,2024-07-24,17652,2824,14828,Raw Materials,Bank Transfer,Yes
PUR00010008-0003,CLM00010008,TPIN1000000008,TPIN1000000169,Supplier 0169,Yes,INV-642016,2024-08-09,56161,8986,47175,Raw Materials,Cheque,Yes
PUR00010009-0001,CLM00010009,TPIN1000000009,TPIN1000000301,Supplier 0301,Yes,INV-336583,2024-01-06,33829,5413,28416,Equipment,Cheque,Yes
PUR00010009-0002,CLM00010009,TPIN1000000009,TPIN1000000405,Supplier 0405,Yes,INV-101508,2023-12-16,14252,2280,11972,Equipment,Bank Transfer,No
PUR00010009-0003,CLM00010009,TPIN1000000009,TPIN1000000080,Supplier 0080,Yes,INV-999094,2024-01-10,38456,6153,32303,Raw Materials,Bank Transfer,Yes
PUR00010010-0001,CLM00010010,TPIN1000000010,TPIN1000000639,Supplier 0639,Yes,INV-512405,2024-11-04,40480,6477,34003,Services,Bank Transfer,Yes
PUR00010010-0002,CLM00010010,TPIN1000000010,TPIN1000000193,Supplier 0193,Yes,INV-6691,2024-09-07,15562,2490,13072,Goods for Resale,Bank Transfer,Yes
PUR00010010-0003,CLM00010010,TPIN1000000010,TPIN1000000371,Supplier 0371,Yes,INV-416387,2024-10-02,27806,4449,23357,Raw Materials,Cash,Yes
PUR00010011-0001,CLM00010011,TPIN1000000011,TPIN1000000315,Supplier 0315,No,INV-427556,2024-05-07,25004,4001,21003,Goods for Resale,Cash,No
PUR00010011-0002,CLM00010011,TPIN1000000011,TPIN1000000581,Supplier 0581,Yes,INV-994534,2024-05-16,19916,3187,16730,Services,Bank Transfer,Yes
PUR00010011-0003,CLM00010011,TPIN1000000011,TPIN1000000568,Supplier 0568,Yes,INV-49455,2024-03-17,38424,6148,32276,Goods for Resale,Bank Transfer,No
PUR00010012-0001,CLM00010012,TPIN1000000012,TPIN1000000623,Supplier 0623,No,INV-72172,2024-09-04,23189,3710,19478,Services,Cheque,Yes
PUR00010013-0001,CLM00010013,TPIN1000000013,TPIN1000000489,Supplier 0489,Yes,INV-722972,2024-03-18,56019,8963,47056,Equipment,Cheque,No
PUR00010014-0001,CLM00010014,TPIN1000000014,TPIN1000000239,Supplier 0239,Yes,INV-737399,2024-09-08,11771,1883,9888,Raw Materials,Bank Transfer,Yes
PUR00010015-0001,CLM00010015,TPIN1000000015,TPIN1000000779,Supplier 0779,Yes,INV-932580,2024-08-23,36976,5916,31060,Services,Cash,Yes
